Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Development Specialist #2-A,12 Paid,10215
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Development Specialist #5,12 Paid,10216
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10217
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Hospitalization (BCCPY),12 Paid,10218
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10219
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Life Insurance (LICPY),12 Paid,10220
City Planning Commission Staffing,00-071,ILTR-00048,02-02-2015,02-02-2015,02-12-2015,02-12-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-04-2015,03-05-2015,03-05-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10221
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Manager #3,12 Paid,10222
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Manager #1-A,12 Paid,10223
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Manager #7-A,12 Paid,10224
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Assistant #3-B,12 Paid,10225
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Manager #8,12 Paid,10226
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Construction Project Manager II (DPW) - B,12 Paid,10227
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Administrative Assistant #1-C,12 Paid,10228
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Assistant #1-A,12 Paid,10229
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Project Manager #6-A,12 Paid,10230
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Davis Bacon/Section 3 Specialist #3,12 Paid,10231
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Davis Bacon/Section 3 Specialist # 1-B,12 Paid,10232
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10233
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Hospitalization (BCCPY),12 Paid,10234
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10235
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Life Insurance (LICPY),12 Paid,10236
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10237
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Blackberries/Communications (public service),12 Paid,10238
Program Management & Monitoring,00-106,ILTR-00238,01-19-2015,01-19-2015,01-19-2015,02-12-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-13-2015,02-16-2015,03-05-2015,03-06-2015,03-06-2015,OCD,Blackberries/Communications (public service),12 Paid,10239
UMC Infrastructure & Utility Improvements,00-005,ILTR-00274,12-23-2014,02-10-2015,02-10-2015,02-16-2015,02-18-2015,02-18-2015,06-04-2015,06-04-2015,06-04-2015,06-08-2015,06-12-2015,06-15-2015,06-25-2015,OCD,230kV Relocation,12 Paid,10240
UMC Infrastructure & Utility Improvements,00-005,ILTR-00274,12-23-2014,02-10-2015,02-10-2015,02-16-2015,02-18-2015,02-18-2015,06-04-2015,06-04-2015,06-04-2015,06-08-2015,06-12-2015,06-15-2015,06-25-2015,OCD,230kV Relocation,12 Paid,10241
UMC Infrastructure & Utility Improvements,00-005,ILTR-00274,12-23-2014,02-10-2015,02-10-2015,02-16-2015,02-18-2015,02-18-2015,06-04-2015,06-04-2015,06-04-2015,06-08-2015,06-12-2015,06-15-2015,06-25-2015,OCD,230kV Relocation,12 Paid,10242
UMC Infrastructure & Utility Improvements,00-005,ILTR-00274,12-23-2014,02-10-2015,02-10-2015,02-16-2015,02-18-2015,02-18-2015,06-04-2015,06-04-2015,06-04-2015,06-08-2015,06-12-2015,06-15-2015,06-25-2015,OCD,230kV Relocation,12 Paid,10243
UMC Infrastructure & Utility Improvements,00-005,ILTR-00274,12-23-2014,02-10-2015,02-10-2015,02-16-2015,02-18-2015,02-18-2015,06-04-2015,06-04-2015,06-04-2015,06-08-2015,06-12-2015,06-15-2015,06-25-2015,OCD,Street Improvements,12 Paid,10244
UMC Infrastructure & Utility Improvements,00-005,ILTR-00274,12-23-2014,02-10-2015,02-10-2015,02-16-2015,02-18-2015,02-18-2015,06-04-2015,06-04-2015,06-04-2015,06-08-2015,06-12-2015,06-15-2015,06-25-2015,OCD,Utility Connections,12 Paid,10245
VAMC Land Acquisition & Relocation - Public Facilities,00-637,ILTR-00122,02-09-2015,02-19-2015,02-20-2015,02-20-2015,02-23-2015,02-24-2015,02-24-2015,02-24-2015,02-24-2015,02-25-2015,03-06-2015,03-09-2015,03-05-2015,DPW,"Fleming Construction Co., L.L.C.",12 Paid,10246
Reinventing the Crescent: Downriver Park,00-120,ILTR-00039,02-11-2015,02-25-2015,02-25-2015,02-25-2015,03-04-2015,03-06-2015,03-06-2015,03-06-2015,03-06-2015,03-09-2015,03-16-2015,03-17-2015,03-19-2015,DPW,"Landis Construction Company, LLC",12 Paid,10247
Program Management & Monitoring,00-107,ILTR-00238,02-19-2015,02-19-2015,02-19-2015,02-26-2015,02-26-2015,02-26-2015,02-26-2015,03-02-2015,03-02-2015,03-02-2015,03-13-2015,03-16-2015,03-16-2015,OCD,Environ International Corp.,12 Paid,10248
Program Management & Monitoring,00-107,ILTR-00238,02-19-2015,02-19-2015,02-19-2015,02-26-2015,02-26-2015,02-26-2015,02-26-2015,03-02-2015,03-02-2015,03-02-2015,03-13-2015,03-16-2015,03-16-2015,OCD,Environ International Corp.,12 Paid,10249
Reinventing the Crescent: Downriver Park,00-121,ILTR-00039,02-18-2015,02-25-2015,03-03-2015,03-03-2015,03-04-2015,03-04-2015,03-05-2015,03-06-2015,03-06-2015,03-09-2015,03-16-2015,03-17-2015,03-19-2015,DPW,The Tobler Company,12 Paid,10250
UMC Infrastructure & Utility Improvements,00-006,ILTR-00274,01-15-2015,02-23-2015,02-23-2015,03-02-2015,03-03-2015,03-04-2015,03-04-2015,03-04-2015,03-04-2015,03-05-2015,03-23-2015,03-24-2015,03-30-2015,OCD,Street Improvements,12 Paid,10251
VAMC Land Acquisition & Relocation - Public Facilities,00-638,ILTR-00122,02-06-2015,02-26-2015,02-27-2015,02-27-2015,03-04-2015,03-04-2015,03-04-2015,03-05-2015,03-05-2015,03-06-2015,03-16-2015,03-17-2015,03-17-2015,DPW,N.Y. Associates,12 Paid,10252
Sanchez Community Center,00-025,ILTR-00240,02-06-2015,02-10-2015,02-10-2015,03-10-2015,03-05-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,04-01-2015,CPA,Gibbs Construction,12 Paid,10253
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Administrative Assistant,12 Paid,10254
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Accountant I (#1),12 Paid,10255
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,DCDBG Fiscal Analyst #3,12 Paid,10256
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Policy Analyst-B,12 Paid,10257
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Placed Based Planner,12 Paid,10258
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Attorney III (#1),12 Paid,10259
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Auditor I,12 Paid,10260
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Environmental Review Specialist,12 Paid,10261
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Documentation Support Specialist II #2,12 Paid,10262
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Documentation Support Specialist II #1,12 Paid,10263
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,DCDBG Fiscal Analyst #2,12 Paid,10264
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,DCDBG Fiscal Analyst #1,12 Paid,10265
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Recovery Finance Deputy Director - A,12 Paid,10266
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Attorney II,12 Paid,10267
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Program Assistant/UPS III - B,12 Paid,10268
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10269
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Hospitalization (BCCPY),12 Paid,10270
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10271
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Life Insurance (LICPY),12 Paid,10272
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10273
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Miscellaneous,12 Paid,10274
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Computers & Software (admin),12 Paid,10275
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Computers & Software (admin),12 Paid,10276
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Computers & Software (admin),12 Paid,10277
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Public Notices,12 Paid,10278
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Training,12 Paid,10279
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Office Space,12 Paid,10280
Program Administrative Costs,00-111,ILTR-00046,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-11-2015,03-11-2015,03-11-2015,03-11-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Office Space,12 Paid,10281
Interim Nuisance Abatement/CNAP,00-150,ILTR-00054,02-17-2015,02-17-2015,03-09-2015,03-10-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Environmental Specialist III,12 Paid,10282
Interim Nuisance Abatement/CNAP,00-150,ILTR-00054,02-17-2015,02-17-2015,03-09-2015,03-10-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,10283
Interim Nuisance Abatement/CNAP,00-150,ILTR-00054,02-17-2015,02-17-2015,03-09-2015,03-10-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Hospitalization (BCCPY),12 Paid,10284
Interim Nuisance Abatement/CNAP,00-150,ILTR-00054,02-17-2015,02-17-2015,03-09-2015,03-10-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10285
Interim Nuisance Abatement/CNAP,00-150,ILTR-00054,02-17-2015,02-17-2015,03-09-2015,03-10-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Life Insurance (LICPY),12 Paid,10286
Interim Nuisance Abatement/CNAP,00-150,ILTR-00054,02-17-2015,02-17-2015,03-09-2015,03-10-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10287
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Office Assistant II #2,12 Paid,10288
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Office Assistant II #3,12 Paid,10289
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10290
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Hospitalization (BCCPY),12 Paid,10291
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10292
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Life Insurance (LICPY),12 Paid,10293
Strategic Demolition,00-162,ILTR-00174,02-17-2015,02-17-2015,03-09-2015,03-09-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10294
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Program Specialist-A,12 Paid,10295
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Sr. Attorney,12 Paid,10296
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,10297
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Hospitalization (BCCPY),12 Paid,10298
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Workmen's Compensation (WCCPY),12 Paid,10299
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Life Insurance (LICPY),12 Paid,10300
Code Enforcement Staffing,00-078,ILTR-00040,02-16-2015,02-16-2015,02-16-2015,03-09-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-10-2015,03-13-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Unemployment Insurance (UCCPY),12 Paid,10301
VAMC Land Acquisition & Relocation - Public Facilities,00-639,ILTR-00122,03-02-2015,03-05-2015,03-10-2015,03-10-2015,03-12-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-18-2015,03-27-2015,03-30-2015,03-30-2015,DPW,"Gulf South Engineering and Testing, Inc.",12 Paid,10302
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Project Manager #3,12 Paid,10303
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Project Manager #1-A,12 Paid,10304
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Project Manager #7-A,12 Paid,10305
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Project Assistant #3-B,12 Paid,10306
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Project Manager #8,12 Paid,10307
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Construction Project Manager II (DPW) - B,12 Paid,10308
Program Management & Monitoring,00-108,ILTR-00238,02-16-2015,02-16-2015,02-16-2015,03-11-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-13-2015,03-16-2015,03-27-2015,03-30-2015,03-30-2015,OCD,Administrative Assistant #1-C,12 Paid,10309
